Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
months_since_last_pymnt_d_last_credit_pull_d,0,"(-inf, 0.50)",36025,0.7443489400388446,35968,57,0.001582234559333796,2.460703946016174,1.7036443217860506,0.17157489991643868,-0.845257772700464,93.0
months_since_last_pymnt_d_last_credit_pull_d,1,"[0.50, inf)",12373,0.25565105996115545,11548,825,0.06667744281904146,-1.347745564954494,0.9330984666661583,0.1085408818120623,-0.845257772700464,0.0
months_since_last_pymnt_d_last_credit_pull_d,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.845257772700464,33.0
months_since_last_pymnt_d_last_credit_pull_d,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.845257772700464,33.0
months_since_issue_d_last_credit_pull_d,0,"(-inf, 3.50)",14237,0.29416504814248523,14212,25,0.0017559879188031185,2.356336412870078,0.6379888748083103,0.06526501799794228,-0.7174517705169079,68.0
months_since_issue_d_last_credit_pull_d,1,"[3.50, 4.50)",3538,0.07310219430554982,3519,19,0.005370265686828717,1.2348634387525057,0.06485171112611697,0.00762772743304539,-0.7174517705169079,45.0
months_since_issue_d_last_credit_pull_d,2,"[4.50, 5.50)",4408,0.09107814372494731,4373,35,0.00794010889292196,0.8412267705208678,0.04403790000947207,0.005347959196349944,-0.7174517705169079,37.0
months_since_issue_d_last_credit_pull_d,3,"[5.50, 6.50)",5393,0.11143022438943757,5310,83,0.015390320786204338,0.17187678703674747,0.003033199478864697,0.00037868392698970493,-0.7174517705169079,23.0
months_since_issue_d_last_credit_pull_d,4,"[6.50, 7.50)",3452,0.07132526137443695,3371,81,0.02346465816917729,-0.2581141588410172,0.005392575402529761,0.0006722069430706865,-0.7174517705169079,14.0
months_since_issue_d_last_credit_pull_d,5,"[7.50, 8.50)",3819,0.07890821934790694,3701,118,0.030898140874574497,-0.5409560114821477,0.030237977799055925,0.0037343244773895105,-0.7174517705169079,8.0
months_since_issue_d_last_credit_pull_d,6,"[8.50, 9.50)",4158,0.08591264101822389,4025,133,0.03198653198653199,-0.576698657771729,0.038111328037542504,0.0046989783750053925,-0.7174517705169079,8.0
months_since_issue_d_last_credit_pull_d,7,"[9.50, 10.50)",2883,0.05956857721393446,2779,104,0.036073534512660425,-0.7011741888015082,0.0416695686176885,0.005104550605914934,-0.7174517705169079,5.0
months_since_issue_d_last_credit_pull_d,8,"[10.50, 11.50)",2701,0.055808091243439814,2590,111,0.0410958904109589,-0.8367467660213896,0.05969550986287394,0.007251599680243279,-0.7174517705169079,2.0
months_since_issue_d_last_credit_pull_d,9,"[11.50, inf)",3809,0.078701599239638,3636,173,0.04541874507744815,-0.9412818586030487,0.11259946052410752,0.013577306197669486,-0.7174517705169079,0.0
months_since_issue_d_last_credit_pull_d,10,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.7174517705169079,19.0
months_since_issue_d_last_credit_pull_d,11,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.7174517705169079,19.0
out_prncp_inv,0,"(-inf, 209.17)",3124,0.06454812182321583,2817,307,0.09827144686299616,-1.7700496991134638,0.5111678185718899,0.056675674792539404,-1.4272770458979496,0.0
out_prncp_inv,1,"[209.17, 4518.80)",4676,0.09661556262655481,4620,56,0.011976047904191617,0.4261685739379959,0.014378221569289912,0.0017837991433944317,-1.4272770458979496,90.0
out_prncp_inv,2,"[4518.80, 6179.58)",3952,0.08165626678788379,3923,29,0.007338056680161943,0.92068639682044,0.045741398718268426,0.005523919204846918,-1.4272770458979496,111.0
out_prncp_inv,3,"[6179.58, 16075.16)",21548,0.4452250092979049,21281,267,0.01239094115463152,0.3916915570297834,0.05685367802164749,0.007061625098997784,-1.4272770458979496,89.0
out_prncp_inv,4,"[16075.16, 28687.32)",12531,0.25891565767180463,12358,173,0.013805761710956828,0.28213759172050645,0.018038661648664786,0.002247383664757137,-1.4272770458979496,85.0
out_prncp_inv,5,"[28687.32, inf)",2567,0.05303938179263606,2517,50,0.019477989871445268,-0.06782972969546908,0.00025217138613989906,3.151538190553386e-05,-1.4272770458979496,70.0
out_prncp_inv,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-1.4272770458979496,73.0
out_prncp_inv,7,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-1.4272770458979496,73.0
grade,0,['A'],8605,0.17779660316542006,8571,34,0.0039511911679256245,1.5431494468800824,0.21886888650640146,0.02493103300458088,-0.7160337202288776,54.0
grade,1,['B'],13278,0.2743501797594942,13176,102,0.0076818798011748755,0.8745497391705661,0.1413707993379797,0.017128886870646745,-0.7160337202288776,40.0
grade,2,['C'],13820,0.28554898962767056,13597,223,0.01613603473227207,0.12380296829292847,0.004125334652271284,0.0005153377622158142,-0.7160337202288776,24.0
grade,3,['D'],7262,0.15004752262490187,7014,248,0.03415037179840264,-0.6443950348674976,0.08606907574359969,0.010576270781746534,-0.7160337202288776,8.0
grade,4,['E' 'F' 'G'],5433,0.11225670482251332,5158,275,0.05061660224553654,-1.0550966306279204,0.21443622989733252,0.025626542144846484,-0.7160337202288776,0.0
grade,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.7160337202288776,22.0
grade,6,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.7160337202288776,22.0
last_pymnt_amnt,0,"(-inf, 138.11)",2739,0.05659324765486177,2663,76,0.02774735304855787,-0.4301544738750378,0.01295776716871361,0.0016073477266839858,-1.9242360270668228,0.0
